Stammnummer;Zielvariable;Tag;Monat;Dauer;Anruf-ID;Alter;Geschlecht;Art der Anstellung;Familienstand;Schulabschluß;Ausfall Kredit;Kontostand;Haus;Kredit;Kontaktart;Anzahl der Ansprachen;Tage seit letzter Kampagne;Anzahl Kontakte letzte Kampagne;Ergebnis letzte Kampagne
432160588;;30;jul;166;69689470;44;w;Arbeiter;verheiratet;Abitur;nein;5414;nein;nein;Handy;4;;0;Unbekannt
432154439;;20;jun;101;69692395;42;w;Technischer Beruf;verheiratet;Abitur;nein;2980;nein;nein;Unbekannt;3;;0;Unbekannt
432142955;;6;may;193;69693592;43;m;Selbständig;verheiratet;Abitur;nein;918;ja;nein;Unbekannt;1;;0;Unbekannt
432143986;;9;may;448;69696156;28;m;Verwaltung;verheiratet;Abitur;nein;252;ja;nein;Unbekannt;1;;0;Unbekannt
432162124;;8;aug;550;69698121;50;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;-98;nein;ja;Handy;2;;0;Unbekannt
432163386;;14;aug;935;69698720;52;m;Arbeiter;verheiratet;Unbekannt;nein;51;nein;nein;Handy;2;;0;Unbekannt
432157820;;18;jul;909;69699533;34;m;Verwaltung;single;Abitur;nein;934;nein;nein;Handy;3;;0;Unbekannt
432155190;;7;jul;243;69702025;35;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;63;nein;ja;Handy;2;;0;Unbekannt
432164433;;21;aug;63;69704484;36;w;Management;single;Studium;nein;1246;nein;nein;Handy;2;;0;Unbekannt
432176383;;30;apr;68;69705020;25;w;Verwaltung;single;Abitur;nein;483;nein;ja;Handy;1;86;1;Erfolg
432146206;;16;may;56;69706172;55;m;Management;verheiratet;Real-/Hauptschule;nein;19;ja;nein;Unbekannt;3;;0;Unbekannt
432159952;;29;jul;146;69708423;42;m;Selbständig;verheiratet;Abitur;nein;2130;ja;ja;Handy;2;;0;Unbekannt
432182100;;1;jun;113;69711305;57;w;Gründer;verheiratet;Abitur;nein;2464;nein;nein;Handy;1;;0;Unbekannt
432175673;;20;apr;405;69713255;29;w;Arbeiter;geschieden;Abitur;nein;291;ja;nein;Handy;2;;0;Unbekannt
432151740;;6;jun;153;69715724;43;m;Arbeiter;verheiratet;Abitur;nein;101;nein;nein;Unbekannt;1;;0;Unbekannt
432145413;;14;may;468;69721121;42;w;Management;verheiratet;Unbekannt;nein;1333;ja;nein;Unbekannt;2;;0;Unbekannt
432145252;;14;may;139;69725862;49;w;Gründer;verheiratet;Abitur;nein;348;ja;nein;Unbekannt;2;;0;Unbekannt
432176813;;5;may;1240;69728466;36;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;378;ja;nein;Handy;1;;0;Unbekannt
432158826;;23;jul;350;69731156;48;w;Management;verheiratet;Studium;nein;291;ja;nein;Festnetz;2;;0;Unbekannt
432162689;;11;aug;385;69731481;32;w;Technischer Beruf;single;Studium;nein;543;nein;nein;Handy;3;;0;Unbekannt
432143000;;6;may;412;69732508;39;w;Verwaltung;verheiratet;Abitur;nein;104;ja;nein;Unbekannt;1;;0;Unbekannt
432174192;;8;apr;93;69733026;24;m;Student;single;Abitur;nein;745;ja;nein;Festnetz;2;;0;Unbekannt
432148064;;26;may;109;69734675;36;w;Technischer Beruf;geschieden;Abitur;nein;19;ja;ja;Unbekannt;1;;0;Unbekannt
432187529;;15;nov;401;69734702;34;m;Technischer Beruf;verheiratet;Abitur;nein;133;nein;nein;Handy;2;187;5;Erfolg
432146344;;16;may;320;69735109;26;m;Arbeiter;single;Real-/Hauptschule;nein;-579;ja;nein;Unbekannt;3;;0;Unbekannt
432171333;;2;feb;326;69740747;42;w;Verwaltung;geschieden;Abitur;nein;814;ja;nein;Handy;5;;0;Unbekannt
432171942;;3;feb;254;69740890;39;w;Arbeiter;verheiratet;Unbekannt;nein;295;ja;nein;Handy;1;;0;Unbekannt
432180880;;15;may;137;69749944;34;m;Management;single;Studium;nein;2360;ja;nein;Handy;2;176;1;Kein Erfolg
432164388;;20;aug;210;69753327;56;w;Arbeiter;verheiratet;Abitur;nein;385;nein;nein;Handy;3;;0;Unbekannt
432187400;;19;oct;366;69754644;25;w;Verwaltung;single;Studium;nein;1734;nein;nein;Handy;1;;0;Unbekannt
432165701;;27;aug;37;69758417;39;m;Management;single;Studium;nein;816;ja;nein;Handy;3;;0;Unbekannt
432176910;;5;may;145;69759584;28;w;Selbständig;verheiratet;Studium;nein;112;ja;ja;Handy;1;;0;Unbekannt
432174475;;15;apr;225;69761690;36;w;Technischer Beruf;verheiratet;Studium;nein;543;ja;nein;Handy;2;;0;Unbekannt
432181468;;18;may;59;69762200;28;w;Management;single;Studium;nein;-386;ja;nein;Handy;2;;0;Unbekannt
432158363;;22;jul;120;69762572;29;m;Verwaltung;single;Studium;nein;89;ja;nein;Handy;1;;0;Unbekannt
432180306;;14;may;17;69763126;51;m;Arbeiter;verheiratet;Abitur;nein;814;ja;nein;Handy;8;;0;Unbekannt
432151426;;5;jun;264;69764393;60;w;Management;verheiratet;Studium;nein;13360;nein;ja;Unbekannt;1;;0;Unbekannt
432152363;;9;jun;53;69768167;39;w;Dienstleistung;verheiratet;Abitur;nein;1367;ja;nein;Unbekannt;4;;0;Unbekannt
432146327;;16;may;81;69768829;35;m;Arbeiter;single;Abitur;nein;510;ja;nein;Unbekannt;6;;0;Unbekannt
432162349;;8;aug;204;69770138;40;w;Technischer Beruf;verheiratet;Abitur;nein;8844;nein;nein;Handy;1;;0;Unbekannt
432185037;;15;jan;233;69770608;85;w;Rentner;verheiratet;Real-/Hauptschule;nein;1255;nein;nein;Handy;3;;0;Unbekannt
432147071;;20;may;243;69770999;35;m;Arbeiter;single;Abitur;nein;275;ja;nein;Unbekannt;2;;0;Unbekannt
432177207;;6;may;59;69771192;34;w;Verwaltung;verheiratet;Abitur;nein;4902;ja;nein;Handy;1;167;1;Kein Erfolg
432155716;;9;jul;75;69771563;27;w;Management;single;Studium;nein;154;nein;ja;Handy;1;;0;Unbekannt
432164631;;21;aug;102;69772465;31;w;Technischer Beruf;single;Abitur;nein;4;nein;nein;Handy;3;;0;Unbekannt
432179974;;14;may;16;69775875;28;m;Student;single;Studium;nein;170;nein;nein;Festnetz;5;;0;Unbekannt
432148030;;26;may;204;69776967;59;m;Verwaltung;verheiratet;Abitur;nein;-396;ja;nein;Unbekannt;1;;0;Unbekannt
432157233;;16;jul;558;69778973;58;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;0;nein;nein;Festnetz;6;;0;Unbekannt
432170048;;21;nov;273;69779558;36;w;Technischer Beruf;verheiratet;Studium;nein;4932;ja;nein;Handy;5;;0;Unbekannt
432167631;;18;nov;658;69780573;36;m;Selbständig;single;Studium;nein;3560;nein;nein;Handy;3;169;2;Kein Erfolg
432167641;;18;nov;373;69786739;54;w;Arbeiter;verheiratet;Abitur;nein;1070;nein;nein;Handy;4;;0;Unbekannt
432182953;;4;aug;236;69786832;37;m;Verwaltung;single;Abitur;nein;115;nein;nein;Handy;1;92;4;Kein Erfolg
432170533;;29;jan;50;69788254;50;m;Management;single;Studium;nein;567;ja;nein;Handy;1;258;8;Kein Erfolg
432165191;;25;aug;497;69788896;32;m;Management;single;Studium;nein;1882;nein;nein;Handy;5;;0;Unbekannt
432145791;;15;may;178;69800177;53;m;Verwaltung;verheiratet;Abitur;nein;-197;ja;ja;Unbekannt;1;;0;Unbekannt
432185945;;30;apr;262;69800313;30;w;Management;verheiratet;Studium;nein;4328;nein;nein;Handy;3;189;11;Sonstiges
432163439;;14;aug;197;69800825;61;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;1115;nein;nein;Handy;4;;0;Unbekannt
432160206;;30;jul;142;69803435;52;w;Verwaltung;verheiratet;Abitur;nein;1746;nein;nein;Handy;9;;0;Unbekannt
432159849;;29;jul;38;69804371;41;w;Verwaltung;verheiratet;Abitur;nein;-5;ja;nein;Handy;17;;0;Unbekannt
432157740;;18;jul;384;69809022;27;w;Selbständig;single;Studium;ja;5;nein;ja;Handy;1;;0;Unbekannt
432167193;;18;nov;75;69810262;47;m;Management;geschieden;Abitur;nein;0;ja;nein;Handy;2;;0;Unbekannt
432157485;;17;jul;79;69811393;35;m;Management;single;Abitur;nein;138;ja;ja;Handy;1;;0;Unbekannt
432177433;;6;may;129;69815056;32;w;Verwaltung;verheiratet;Abitur;ja;-166;ja;nein;Handy;3;;0;Unbekannt
432167249;;18;nov;296;69819988;41;w;Dienstleistung;verheiratet;Abitur;nein;446;ja;nein;Handy;1;186;1;Erfolg
432174731;;16;apr;399;69821433;44;m;Management;geschieden;Studium;nein;2422;ja;nein;Handy;2;269;2;Kein Erfolg
432160941;;31;jul;744;69822604;49;m;Management;geschieden;Studium;nein;2564;ja;nein;Handy;8;;0;Unbekannt
432157046;;15;jul;150;69826445;39;w;Verwaltung;verheiratet;Abitur;nein;1388;ja;nein;Handy;5;;0;Unbekannt
432175901;;20;apr;580;69829996;43;w;Dienstleistung;geschieden;Abitur;nein;-287;ja;nein;Handy;4;;0;Unbekannt
432156106;;10;jul;255;69831648;30;m;Arbeiter;verheiratet;Abitur;nein;167;ja;nein;Handy;1;;0;Unbekannt
432175215;;17;apr;108;69834156;33;m;Technischer Beruf;verheiratet;Abitur;nein;806;nein;nein;Handy;1;;0;Unbekannt
432162399;;8;aug;329;69847252;43;m;Management;verheiratet;Studium;nein;2759;ja;ja;Handy;2;;0;Unbekannt
432157379;;17;jul;158;69848110;37;m;Selbständig;verheiratet;Abitur;ja;0;ja;nein;Handy;1;;0;Unbekannt
432149248;;28;may;357;69849185;36;m;Management;verheiratet;Studium;nein;771;ja;nein;Unbekannt;1;;0;Unbekannt
432153287;;17;jun;236;69851744;32;m;Dienstleistung;single;Abitur;nein;914;ja;nein;Unbekannt;2;;0;Unbekannt
432146505;;19;may;112;69852243;41;w;Dienstleistung;single;Abitur;nein;197;ja;nein;Unbekannt;1;;0;Unbekannt
432172408;;4;feb;102;69853236;48;m;Arbeitslos;verheiratet;Abitur;nein;1724;nein;nein;Festnetz;2;;0;Unbekannt
432152165;;9;jun;55;69857133;56;m;Management;verheiratet;Abitur;nein;819;nein;nein;Unbekannt;1;;0;Unbekannt
432158392;;22;jul;369;69857539;31;w;Management;single;Studium;nein;78;ja;nein;Handy;2;;0;Unbekannt
432168221;;19;nov;145;69861004;39;w;Management;verheiratet;Studium;nein;622;nein;nein;Handy;1;;0;Unbekannt
432151990;;6;jun;151;69865589;28;w;Verwaltung;single;Abitur;nein;596;ja;nein;Unbekannt;6;;0;Unbekannt
432178712;;11;may;333;69865796;29;w;Arbeiter;verheiratet;Abitur;nein;195;ja;nein;Handy;1;;0;Unbekannt
432158436;;22;jul;134;69868073;48;m;Dienstleistung;single;Real-/Hauptschule;nein;204;ja;nein;Handy;1;;0;Unbekannt
432181637;;18;may;82;69872317;32;m;Verwaltung;geschieden;Abitur;ja;5;ja;ja;Handy;3;363;2;Sonstiges
432153464;;18;jun;164;69876219;29;w;Arbeiter;verheiratet;Abitur;nein;-565;ja;nein;Unbekannt;3;;0;Unbekannt
432164727;;22;aug;192;69876570;34;m;Verwaltung;verheiratet;Abitur;nein;36;nein;nein;Handy;6;;0;Unbekannt
432164249;;20;aug;112;69876847;34;m;Management;verheiratet;Studium;nein;881;nein;nein;Handy;2;;0;Unbekannt
432170147;;28;jan;319;69877345;32;m;Verwaltung;single;Abitur;nein;254;ja;nein;Handy;1;;0;Unbekannt
432184263;;21;oct;180;69877734;53;w;Management;geschieden;Studium;nein;3370;nein;nein;Handy;1;334;3;Sonstiges
432169040;;20;nov;150;69881110;52;m;Hausfrau;verheiratet;Real-/Hauptschule;nein;1466;nein;ja;Handy;1;;0;Unbekannt
432162017;;7;aug;269;69891151;33;w;Management;verheiratet;Studium;nein;584;ja;nein;Handy;3;;0;Unbekannt
432165780;;28;aug;82;69891675;38;m;Technischer Beruf;verheiratet;Abitur;nein;0;nein;nein;Handy;4;;0;Unbekannt
432163350;;14;aug;293;69891750;37;w;Management;single;Studium;nein;131;nein;nein;Festnetz;2;;0;Unbekannt
432142995;;6;may;524;69891771;41;w;Management;verheiratet;Studium;nein;65;ja;nein;Unbekannt;2;;0;Unbekannt
432158510;;22;jul;282;69892790;60;w;Arbeiter;verheiratet;Abitur;nein;-223;nein;ja;Handy;2;;0;Unbekannt
432143595;;8;may;249;69895061;44;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;185;ja;nein;Unbekannt;1;;0;Unbekannt
432145960;;15;may;263;69896478;59;m;Verwaltung;geschieden;Abitur;nein;975;ja;nein;Unbekannt;4;;0;Unbekannt
432175186;;17;apr;100;69901065;33;m;Arbeiter;single;Abitur;nein;266;ja;ja;Handy;2;;0;Unbekannt
432169227;;20;nov;265;69902593;36;w;Arbeiter;verheiratet;Abitur;nein;2848;ja;nein;Handy;3;;0;Unbekannt
432163428;;14;aug;272;69902695;39;m;Technischer Beruf;single;Abitur;nein;102;ja;nein;Handy;2;;0;Unbekannt
432159195;;25;jul;263;69903194;48;w;Management;geschieden;Studium;nein;64;nein;ja;Handy;6;;0;Unbekannt
432161144;;31;jul;48;69906002;38;w;Management;verheiratet;Studium;nein;14190;ja;nein;Handy;3;;0;Unbekannt
432172781;;5;feb;89;69908374;40;w;Verwaltung;verheiratet;Abitur;nein;367;ja;nein;Festnetz;1;274;1;Kein Erfolg
432152786;;12;jun;190;69911527;46;m;Management;geschieden;Studium;nein;675;nein;ja;Unbekannt;2;;0;Unbekannt
432142870;;6;may;211;69912103;29;w;Management;single;Studium;nein;0;ja;nein;Unbekannt;1;;0;Unbekannt
432157025;;15;jul;159;69915287;48;m;Verwaltung;verheiratet;Abitur;nein;3064;ja;nein;Festnetz;2;;0;Unbekannt
432163997;;19;aug;69;69915350;46;m;Technischer Beruf;single;Abitur;nein;401;nein;nein;Unbekannt;2;;0;Unbekannt
432159891;;29;jul;163;69918879;44;m;Management;single;Real-/Hauptschule;nein;4;nein;nein;Handy;3;;0;Unbekannt
432186562;;16;jul;806;69919844;48;w;Arbeitslos;verheiratet;Abitur;nein;817;nein;nein;Handy;3;183;5;Erfolg
432181224;;18;may;17;69922173;48;m;Management;single;Studium;nein;336;ja;nein;Handy;1;369;4;Sonstiges
432160562;;30;jul;74;69924853;51;w;Hausfrau;verheiratet;Real-/Hauptschule;nein;1337;nein;nein;Festnetz;6;;0;Unbekannt
432182934;;27;jul;82;69925355;63;w;Rentner;single;Studium;nein;70;nein;nein;Handy;2;;0;Unbekannt
432184396;;29;oct;215;69935582;30;m;Management;single;Studium;nein;697;nein;nein;Handy;3;80;5;Erfolg
432149357;;28;may;22;69936708;45;w;Verwaltung;verheiratet;Abitur;nein;935;ja;ja;Unbekannt;7;;0;Unbekannt
432179005;;12;may;337;69938940;49;m;Management;verheiratet;Studium;nein;666;ja;nein;Handy;1;309;6;Kein Erfolg
432180063;;14;may;116;69939142;42;m;Arbeiter;single;Real-/Hauptschule;nein;22;ja;nein;Handy;4;365;1;Kein Erfolg
432152301;;9;jun;223;69940427;37;w;Technischer Beruf;single;Abitur;ja;375;nein;nein;Unbekannt;2;;0;Unbekannt
432164302;;20;aug;239;69940827;39;w;Hausfrau;verheiratet;Abitur;nein;-146;ja;ja;Handy;2;;0;Unbekannt
432183301;;13;aug;425;69943667;77;m;Rentner;verheiratet;Studium;nein;699;nein;nein;Handy;2;;0;Unbekannt
432165981;;28;aug;39;69946389;50;m;Hausfrau;verheiratet;Real-/Hauptschule;nein;0;nein;nein;Handy;4;;0;Unbekannt
432168597;;20;nov;628;69946620;32;w;Technischer Beruf;single;Abitur;nein;6402;ja;nein;Handy;1;;0;Unbekannt
432162663;;11;aug;720;69947469;31;w;Management;verheiratet;Abitur;nein;0;nein;nein;Handy;1;;0;Unbekannt
432167842;;19;nov;310;69947847;52;w;Verwaltung;verheiratet;Abitur;nein;299;nein;nein;Handy;4;;0;Unbekannt
432154797;;1;jul;128;69951890;35;w;Technischer Beruf;verheiratet;Abitur;nein;251;ja;ja;Unbekannt;3;;0;Unbekannt
432171415;;2;feb;51;69958044;37;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;708;ja;nein;Festnetz;1;;0;Unbekannt
432145178;;14;may;1328;69960019;39;w;Management;geschieden;Studium;nein;517;ja;ja;Unbekannt;1;;0;Unbekannt
432172169;;4;feb;192;69961442;32;w;Technischer Beruf;single;Studium;nein;1246;ja;nein;Handy;2;;0;Unbekannt
432177527;;7;may;449;69961684;32;w;Management;single;Studium;nein;41;ja;nein;Handy;1;338;1;Sonstiges
432152225;;9;jun;119;69963796;52;m;Management;geschieden;Abitur;nein;944;nein;ja;Unbekannt;1;;0;Unbekannt
432149472;;29;may;162;69968422;43;w;Technischer Beruf;verheiratet;Abitur;nein;2041;ja;ja;Unbekannt;5;;0;Unbekannt
432174810;;16;apr;551;69969525;28;w;Student;single;Studium;nein;844;nein;nein;Handy;2;;0;Unbekannt
432167208;;18;nov;509;69972442;57;w;Verwaltung;verheiratet;Abitur;nein;1509;ja;nein;Handy;1;;0;Unbekannt
432186673;;29;jul;225;69974562;29;w;Management;verheiratet;Studium;nein;135;nein;nein;Handy;4;;0;Unbekannt
432178448;;11;may;243;69977376;31;w;Technischer Beruf;single;Abitur;nein;550;ja;ja;Festnetz;1;;0;Unbekannt
432160688;;31;jul;14;69981638;33;w;Selbständig;verheiratet;Abitur;nein;0;ja;nein;Handy;23;;0;Unbekannt
432145235;;14;may;171;69981938;53;w;Rentner;verheiratet;Real-/Hauptschule;nein;383;ja;nein;Unbekannt;1;;0;Unbekannt
432161354;;5;aug;222;69989287;30;w;Management;verheiratet;Studium;nein;1908;nein;nein;Handy;1;;0;Unbekannt
432180916;;15;may;406;69990394;38;w;Selbständig;single;Studium;nein;5774;ja;nein;Handy;4;359;5;Sonstiges
432164396;;20;aug;99;69992510;31;m;Technischer Beruf;single;Abitur;nein;36;nein;nein;Handy;3;;0;Unbekannt
432154509;;20;jun;18;69992772;35;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;883;ja;ja;Unbekannt;5;;0;Unbekannt
432177189;;6;may;143;69997383;25;m;Dienstleistung;verheiratet;Abitur;nein;-97;ja;nein;Handy;1;;0;Unbekannt
432154068;;20;jun;40;70000584;35;w;Hausfrau;geschieden;Real-/Hauptschule;nein;1465;nein;nein;Unbekannt;1;;0;Unbekannt
432155760;;9;jul;99;70002048;50;w;Management;verheiratet;Unbekannt;nein;0;nein;nein;Handy;2;;0;Unbekannt
432176134;;23;apr;91;70002316;32;w;Verwaltung;single;Abitur;nein;314;nein;ja;Handy;4;156;1;Sonstiges
432171382;;2;feb;107;70002350;54;w;Technischer Beruf;verheiratet;Abitur;nein;306;nein;nein;Handy;1;;0;Unbekannt
432181180;;18;may;108;70006079;23;w;Verwaltung;verheiratet;Abitur;nein;349;ja;nein;Handy;1;;0;Unbekannt
432170761;;29;jan;155;70006917;53;w;Dienstleistung;verheiratet;Abitur;nein;367;ja;ja;Handy;1;261;2;Kein Erfolg
432161701;;6;aug;265;70016469;44;w;Management;verheiratet;Studium;nein;22;ja;nein;Handy;2;;0;Unbekannt
432159398;;25;jul;155;70019120;55;w;Selbständig;verheiratet;Abitur;nein;2387;ja;nein;Handy;4;;0;Unbekannt
432174723;;16;apr;132;70023362;43;w;Verwaltung;verheiratet;Abitur;nein;1138;nein;nein;Handy;2;;0;Unbekannt
432162916;;12;aug;1133;70023426;30;w;Management;verheiratet;Studium;nein;1567;ja;nein;Handy;4;;0;Unbekannt
