Stammnummer;Zielvariable;Tag;Monat;Dauer;Anruf-ID;Alter;Geschlecht;Art der Anstellung;Familienstand;Schulabschluß;Ausfall Kredit;Kontostand;Haus;Kredit;Kontaktart;Anzahl der Ansprachen;Tage seit letzter Kampagne;Anzahl Kontakte letzte Kampagne;Ergebnis letzte Kampagne
432154344;nein;20;jun;8;99122;43;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;-41;nein;nein;Unbekannt;3;;0;Unbekannt
432183158;nein;11;aug;127;103654;31;w;Management;verheiratet;Studium;nein;199;ja;ja;Handy;2;461;4;Erfolg
432150275;nein;30;may;84;103714;52;m;Technischer Beruf;geschieden;Abitur;nein;137;ja;nein;Unbekannt;3;;0;Unbekannt
432147300;nein;21;may;389;105034;31;m;Technischer Beruf;single;Studium;nein;1887;nein;ja;Unbekannt;1;;0;Unbekannt
432165953;nein;28;aug;53;105940;39;m;Hausfrau;verheiratet;Studium;nein;315;nein;nein;Handy;4;;0;Unbekannt
432172846;nein;5;feb;415;111954;37;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;95;ja;nein;Handy;2;272;2;Kein Erfolg
432149019;nein;28;may;210;118222;39;w;Arbeiter;geschieden;Abitur;nein;412;nein;nein;Unbekannt;1;;0;Unbekannt
432173798;nein;31;mar;684;122903;57;w;Management;geschieden;Studium;nein;6468;ja;nein;Handy;4;;0;Unbekannt
432183086;nein;10;aug;1225;124977;47;m;Hausfrau;verheiratet;Real-/Hauptschule;nein;0;nein;nein;Handy;2;;0;Unbekannt
432153877;nein;19;jun;76;126655;38;w;Technischer Beruf;single;Abitur;nein;207;nein;nein;Unbekannt;2;;0;Unbekannt
432166892;nein;17;nov;407;127037;46;m;Dienstleistung;geschieden;Abitur;nein;0;nein;nein;Handy;1;150;3;Erfolg
432157842;nein;18;jul;247;128752;32;m;Management;verheiratet;Abitur;nein;2858;ja;ja;Handy;5;;0;Unbekannt
432165963;nein;28;aug;16;129269;48;m;Management;verheiratet;Studium;nein;0;nein;nein;Handy;16;;0;Unbekannt
432175428;nein;20;apr;384;131629;45;w;Arbeiter;verheiratet;Abitur;nein;-258;ja;nein;Festnetz;5;;0;Unbekannt
432169400;nein;21;nov;55;132475;50;w;Selbständig;geschieden;Studium;nein;1390;nein;nein;Handy;2;;0;Unbekannt
432182558;nein;9;jun;106;134910;31;m;Management;verheiratet;Studium;nein;242;ja;nein;Handy;4;;0;Unbekannt
432169828;nein;21;nov;86;135238;31;m;Management;single;Studium;nein;307;nein;nein;Handy;2;;0;Unbekannt
432186032;ja;12;may;360;136209;28;m;Verwaltung;single;Abitur;nein;4745;nein;nein;Festnetz;1;181;5;Erfolg
432148537;nein;27;may;518;137331;22;w;Technischer Beruf;single;Abitur;nein;356;ja;nein;Unbekannt;2;;0;Unbekannt
432181334;nein;18;may;185;139808;35;m;Selbständig;single;Studium;nein;0;ja;ja;Handy;1;;0;Unbekannt
432186448;ja;8;jul;411;140510;31;w;Selbständig;verheiratet;Studium;nein;2666;nein;nein;Festnetz;2;148;9;Sonstiges
432157981;nein;21;jul;77;143125;33;w;Arbeitslos;verheiratet;Abitur;nein;-12;nein;ja;Handy;2;;0;Unbekannt
432167361;nein;18;nov;92;144379;45;m;Technischer Beruf;verheiratet;Abitur;nein;3395;ja;nein;Handy;1;188;1;Kein Erfolg
432179708;nein;13;may;166;144872;39;m;Technischer Beruf;verheiratet;Abitur;nein;4741;ja;nein;Handy;1;338;10;Kein Erfolg
432187527;nein;15;nov;414;144879;66;w;Rentner;verheiratet;Abitur;nein;3409;nein;nein;Handy;2;27;6;Kein Erfolg
432185449;ja;23;feb;696;147746;23;m;Student;single;Abitur;nein;381;nein;nein;Handy;1;189;2;Sonstiges
432168407;nein;19;nov;300;150982;54;w;Selbständig;verheiratet;Real-/Hauptschule;nein;277;ja;nein;Handy;5;170;3;Kein Erfolg
432146877;nein;20;may;638;152791;38;m;Verwaltung;verheiratet;Studium;nein;4399;ja;nein;Unbekannt;2;;0;Unbekannt
432163747;nein;18;aug;64;157111;36;w;Technischer Beruf;single;Studium;nein;53;nein;ja;Handy;7;;0;Unbekannt
432159297;nein;25;jul;174;161801;31;w;Dienstleistung;verheiratet;Abitur;nein;395;nein;nein;Handy;3;;0;Unbekannt
432185136;ja;28;jan;155;164079;34;m;Verwaltung;verheiratet;Studium;nein;0;nein;nein;Handy;2;;0;Unbekannt
432180770;nein;15;may;18;166367;26;m;Student;single;Abitur;nein;2138;ja;nein;Handy;8;371;1;Sonstiges
432173919;ja;3;apr;117;167556;26;m;Arbeiter;single;Abitur;nein;5005;nein;ja;Handy;1;;0;Unbekannt
432148860;nein;27;may;201;170780;34;w;Technischer Beruf;verheiratet;Abitur;ja;-34;ja;nein;Unbekannt;5;;0;Unbekannt
432187422;ja;21;oct;549;172176;28;m;Technischer Beruf;single;Studium;nein;11862;nein;nein;Handy;2;238;13;Sonstiges
432160825;nein;31;jul;189;173730;51;m;Technischer Beruf;verheiratet;Studium;nein;5059;ja;nein;Handy;2;;0;Unbekannt
432183115;nein;10;aug;89;174839;26;m;Student;single;Abitur;nein;1608;nein;nein;Handy;2;102;2;Erfolg
432153661;nein;18;jun;41;185525;45;w;Dienstleistung;single;Abitur;nein;359;ja;nein;Unbekannt;8;;0;Unbekannt
432162360;nein;8;aug;93;190003;52;w;Arbeitslos;verheiratet;Abitur;nein;1639;nein;nein;Handy;1;;0;Unbekannt
432149487;nein;29;may;291;191462;43;w;Technischer Beruf;verheiratet;Abitur;nein;310;ja;nein;Unbekannt;1;;0;Unbekannt
432165085;nein;25;aug;508;194631;33;w;Management;verheiratet;Studium;nein;584;ja;nein;Handy;5;;0;Unbekannt
432157178;nein;16;jul;124;195845;45;w;Technischer Beruf;single;Abitur;nein;-55;nein;nein;Handy;1;;0;Unbekannt
432142734;nein;6;may;501;201272;32;w;Arbeitslos;verheiratet;Abitur;nein;10;ja;nein;Unbekannt;4;;0;Unbekannt
432164594;nein;21;aug;102;201782;48;w;Management;verheiratet;Studium;nein;11;ja;nein;Handy;9;;0;Unbekannt
432167396;nein;18;nov;90;202613;50;m;Technischer Beruf;verheiratet;Abitur;nein;232;nein;nein;Handy;1;;0;Unbekannt
432153205;nein;17;jun;388;204633;47;w;Technischer Beruf;geschieden;Abitur;nein;431;nein;ja;Unbekannt;9;;0;Unbekannt
432146155;nein;16;may;326;204785;29;w;Arbeiter;single;Real-/Hauptschule;nein;105;ja;nein;Unbekannt;1;;0;Unbekannt
432181216;ja;18;may;827;206805;33;m;Verwaltung;single;Abitur;nein;1277;ja;nein;Handy;1;;0;Unbekannt
432160190;nein;29;jul;92;208819;49;m;Dienstleistung;geschieden;Abitur;nein;933;nein;ja;Handy;33;;0;Unbekannt
432150203;nein;30;may;170;211318;46;m;Gründer;verheiratet;Abitur;nein;1375;ja;nein;Unbekannt;7;;0;Unbekannt
432172435;nein;4;feb;206;216144;38;m;Selbständig;verheiratet;Abitur;nein;1029;ja;nein;Handy;3;223;1;Sonstiges
432159654;nein;28;jul;54;217039;29;m;Technischer Beruf;single;Abitur;nein;5;ja;ja;Handy;2;;0;Unbekannt
432163461;ja;14;aug;834;218639;49;m;Dienstleistung;verheiratet;Abitur;nein;1314;nein;nein;Handy;14;;0;Unbekannt
432162106;nein;8;aug;108;220029;44;w;Technischer Beruf;verheiratet;Abitur;nein;326;ja;nein;Handy;2;;0;Unbekannt
432150976;nein;3;jun;380;224454;28;m;Arbeiter;single;Real-/Hauptschule;nein;0;ja;ja;Unbekannt;4;;0;Unbekannt
432166487;nein;8;nov;20;226064;28;m;Arbeitslos;single;Studium;nein;7;nein;nein;Handy;1;;0;Unbekannt
432177302;nein;6;may;64;228157;29;w;Technischer Beruf;single;Studium;nein;183;ja;ja;Handy;1;343;2;Kein Erfolg
432151180;nein;4;jun;257;229074;32;w;Technischer Beruf;verheiratet;Abitur;nein;253;ja;nein;Unbekannt;3;;0;Unbekannt
432151980;nein;6;jun;158;229222;39;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;1005;nein;nein;Unbekannt;2;;0;Unbekannt
432170640;nein;29;jan;162;229783;38;w;Verwaltung;verheiratet;Abitur;nein;-33;nein;nein;Handy;1;;0;Unbekannt
432174142;nein;8;apr;185;233095;68;w;Rentner;verheiratet;Real-/Hauptschule;nein;1759;nein;nein;Festnetz;1;;0;Unbekannt
432149589;ja;29;may;1207;236784;60;m;Arbeiter;geschieden;Abitur;nein;0;ja;nein;Unbekannt;1;;0;Unbekannt
432159034;nein;24;jul;140;237669;54;m;Management;verheiratet;Studium;nein;0;ja;nein;Handy;2;;0;Unbekannt
432153530;nein;18;jun;300;239680;49;m;Management;verheiratet;Unbekannt;nein;1401;nein;nein;Unbekannt;1;;0;Unbekannt
432185559;nein;4;mar;262;240173;63;m;Unbekannt;verheiratet;Abitur;nein;367;nein;nein;Festnetz;1;178;6;Kein Erfolg
432148829;nein;27;may;29;242091;30;w;Management;verheiratet;Studium;nein;-27;ja;nein;Unbekannt;2;;0;Unbekannt
432171633;nein;2;feb;82;244753;35;w;Verwaltung;verheiratet;Studium;nein;1145;ja;nein;Handy;2;;0;Unbekannt
432144883;nein;13;may;60;245155;34;m;Technischer Beruf;single;Studium;nein;2;ja;nein;Unbekannt;2;;0;Unbekannt
432183199;nein;12;aug;701;245422;66;w;Gründer;verheiratet;Real-/Hauptschule;nein;0;nein;nein;Festnetz;1;;0;Unbekannt
432165513;nein;27;aug;20;247884;32;w;Technischer Beruf;single;Studium;nein;127;ja;nein;Handy;17;;0;Unbekannt
432185285;ja;8;feb;278;249146;24;m;Technischer Beruf;verheiratet;Abitur;nein;556;ja;nein;Handy;1;94;4;Erfolg
432166704;nein;17;nov;131;249263;56;m;Management;geschieden;Studium;nein;2126;ja;nein;Handy;1;;0;Unbekannt
432172127;nein;4;feb;75;250569;55;m;Management;verheiratet;Real-/Hauptschule;nein;384;nein;nein;Festnetz;1;;0;Unbekannt
432167245;nein;18;nov;54;251104;30;m;Technischer Beruf;single;Studium;nein;3;ja;nein;Handy;1;195;1;Kein Erfolg
432183457;nein;17;aug;115;252176;30;w;Verwaltung;verheiratet;Studium;nein;591;ja;nein;Handy;1;;0;Unbekannt
432184593;ja;12;nov;169;254511;48;w;Arbeiter;verheiratet;Abitur;nein;1230;ja;nein;Handy;1;196;2;Erfolg
432152344;nein;9;jun;100;254902;40;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;48;nein;nein;Unbekannt;5;;0;Unbekannt
432167771;nein;18;nov;366;257571;51;m;Selbständig;verheiratet;Real-/Hauptschule;nein;106;ja;nein;Festnetz;3;110;2;Kein Erfolg
432162227;nein;8;aug;316;261362;34;m;Technischer Beruf;single;Abitur;nein;19348;ja;nein;Handy;2;;0;Unbekannt
432168875;nein;20;nov;249;263860;32;m;Arbeiter;verheiratet;Abitur;nein;10142;ja;nein;Handy;1;;0;Unbekannt
432158521;nein;22;jul;203;266368;34;w;Management;single;Studium;nein;184;nein;nein;Handy;4;;0;Unbekannt
432158811;nein;23;jul;81;269161;30;w;Verwaltung;single;Studium;nein;536;ja;nein;Handy;1;;0;Unbekannt
432179378;nein;13;may;25;271847;33;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;2000;ja;nein;Festnetz;1;;0;Unbekannt
432158640;nein;23;jul;55;273856;46;w;Arbeiter;verheiratet;Unbekannt;nein;55;nein;nein;Handy;1;;0;Unbekannt
432183222;nein;12;aug;699;276045;35;w;Hausfrau;verheiratet;Studium;nein;11219;nein;nein;Handy;2;79;1;Kein Erfolg
432163451;nein;14;aug;924;278640;36;m;Technischer Beruf;single;Abitur;nein;318;nein;nein;Handy;4;;0;Unbekannt
432155390;nein;8;jul;259;279362;35;w;Gründer;verheiratet;Real-/Hauptschule;nein;2643;nein;ja;Handy;1;;0;Unbekannt
432180509;nein;15;may;60;279989;51;w;Management;verheiratet;Studium;nein;0;ja;nein;Handy;1;343;7;Kein Erfolg
432158690;nein;23;jul;70;280285;54;w;Hausfrau;verheiratet;Real-/Hauptschule;nein;1319;ja;nein;Festnetz;2;;0;Unbekannt
432156531;nein;11;jul;159;283205;54;m;Rentner;verheiratet;Real-/Hauptschule;nein;0;ja;nein;Handy;2;;0;Unbekannt
432172421;nein;4;feb;1261;285804;44;w;Verwaltung;verheiratet;Abitur;nein;61;nein;ja;Festnetz;3;;0;Unbekannt
432146443;nein;19;may;318;287832;51;m;Technischer Beruf;single;Abitur;nein;4089;ja;nein;Unbekannt;1;;0;Unbekannt
432144046;nein;9;may;155;290333;25;m;Dienstleistung;verheiratet;Abitur;nein;55;ja;ja;Unbekannt;1;;0;Unbekannt
432147363;nein;21;may;91;290934;38;m;Selbständig;single;Abitur;nein;1146;ja;nein;Unbekannt;2;;0;Unbekannt
432180461;nein;15;may;194;299156;28;m;Student;single;Abitur;nein;293;nein;nein;Handy;3;;0;Unbekannt
432164683;nein;22;aug;87;299731;45;m;Technischer Beruf;single;Studium;nein;0;nein;nein;Handy;4;;0;Unbekannt
432155543;nein;8;jul;135;303808;33;m;Hausfrau;verheiratet;Real-/Hauptschule;nein;1;ja;nein;Handy;1;;0;Unbekannt
432160765;nein;31;jul;142;304012;35;w;Arbeiter;single;Real-/Hauptschule;nein;-759;ja;nein;Handy;2;;0;Unbekannt
432176858;nein;5;may;239;305512;27;m;Management;single;Abitur;nein;0;ja;nein;Handy;1;;0;Unbekannt
432182559;ja;9;jun;234;309895;32;m;Verwaltung;single;Studium;nein;8866;nein;nein;Handy;2;83;2;Erfolg
432158110;nein;21;jul;292;311985;38;m;Arbeiter;single;Abitur;nein;0;ja;nein;Handy;8;;0;Unbekannt
432164778;nein;22;aug;101;312916;36;m;Management;single;Studium;nein;1520;nein;nein;Handy;2;;0;Unbekannt
432153962;nein;19;jun;71;321687;36;m;Selbständig;verheiratet;Real-/Hauptschule;nein;2022;nein;nein;Unbekannt;2;;0;Unbekannt
432177825;nein;7;may;404;328366;28;w;Verwaltung;single;Abitur;nein;697;ja;nein;Handy;2;;0;Unbekannt
432159515;nein;28;jul;62;328928;37;m;Management;verheiratet;Studium;nein;0;ja;nein;Festnetz;8;;0;Unbekannt
432147717;nein;23;may;81;332986;26;m;Student;single;Studium;nein;1570;ja;nein;Unbekannt;1;;0;Unbekannt
432148116;nein;26;may;133;333600;54;m;Arbeiter;verheiratet;Abitur;nein;682;ja;ja;Unbekannt;1;;0;Unbekannt
432143483;nein;7;may;361;333741;28;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;-55;ja;nein;Unbekannt;2;;0;Unbekannt
432170247;nein;28;jan;192;334968;59;w;Rentner;geschieden;Abitur;nein;914;nein;nein;Handy;1;;0;Unbekannt
432147378;nein;21;may;38;335110;48;m;Arbeiter;geschieden;Real-/Hauptschule;nein;338;ja;nein;Unbekannt;12;;0;Unbekannt
432153758;nein;19;jun;127;335675;44;w;Management;verheiratet;Abitur;nein;11972;nein;nein;Unbekannt;1;;0;Unbekannt
432174236;nein;9;apr;304;336210;59;w;Verwaltung;verheiratet;Abitur;nein;817;nein;nein;Handy;1;;0;Unbekannt
432175497;nein;20;apr;239;340857;36;m;Management;verheiratet;Studium;nein;928;ja;nein;Handy;1;;0;Unbekannt
432167929;nein;19;nov;72;342052;54;m;Verwaltung;verheiratet;Abitur;nein;3136;ja;nein;Festnetz;1;;0;Unbekannt
432150139;nein;30;may;465;350817;48;m;Dienstleistung;verheiratet;Abitur;nein;7019;ja;nein;Unbekannt;3;;0;Unbekannt
432156339;nein;10;jul;182;351391;33;w;Arbeiter;verheiratet;Abitur;nein;66;nein;nein;Handy;1;;0;Unbekannt
432156787;nein;14;jul;557;354738;43;m;Technischer Beruf;verheiratet;Abitur;nein;764;ja;nein;Handy;5;;0;Unbekannt
432169015;nein;20;nov;16;356895;51;m;Gründer;verheiratet;Abitur;nein;653;ja;nein;Handy;9;112;37;Sonstiges
432157908;nein;21;jul;168;357663;48;w;Technischer Beruf;verheiratet;Abitur;nein;1152;ja;nein;Handy;5;;0;Unbekannt
432174882;nein;17;apr;142;357947;44;m;Verwaltung;geschieden;Abitur;nein;445;ja;nein;Handy;1;;0;Unbekannt
432149593;nein;29;may;206;360466;48;w;Arbeiter;verheiratet;Unbekannt;nein;100;ja;nein;Unbekannt;1;;0;Unbekannt
432161140;nein;31;jul;17;364860;36;w;Arbeiter;verheiratet;Abitur;nein;1550;nein;nein;Handy;3;;0;Unbekannt
432161253;nein;4;aug;413;366434;45;w;Arbeitslos;verheiratet;Real-/Hauptschule;nein;2;nein;nein;Handy;1;;0;Unbekannt
432178782;nein;11;may;279;367555;29;w;Technischer Beruf;single;Studium;nein;18254;nein;nein;Handy;2;;0;Unbekannt
432165481;nein;26;aug;89;369159;35;w;Technischer Beruf;single;Abitur;nein;915;nein;ja;Handy;3;;0;Unbekannt
432147547;nein;21;may;291;369585;37;m;Management;verheiratet;Studium;nein;1813;ja;nein;Unbekannt;4;;0;Unbekannt
432180651;nein;15;may;338;371399;29;w;Management;single;Studium;nein;499;ja;nein;Handy;1;;0;Unbekannt
432145306;nein;14;may;214;373425;50;m;Management;verheiratet;Abitur;nein;0;ja;nein;Unbekannt;1;;0;Unbekannt
432154325;nein;20;jun;253;373524;40;w;Verwaltung;verheiratet;Abitur;nein;-283;nein;nein;Unbekannt;2;;0;Unbekannt
432143896;nein;8;may;141;374701;50;w;Dienstleistung;single;Abitur;nein;72;nein;nein;Unbekannt;2;;0;Unbekannt
432155546;nein;8;jul;293;376858;29;m;Technischer Beruf;single;Abitur;nein;290;ja;ja;Handy;1;;0;Unbekannt
432168929;nein;20;nov;1166;377932;34;m;Management;single;Studium;nein;3035;nein;nein;Handy;1;;0;Unbekannt
432145550;nein;15;may;141;380674;47;w;Dienstleistung;verheiratet;Abitur;nein;543;ja;nein;Unbekannt;1;;0;Unbekannt
432149635;nein;29;may;617;383045;36;m;Selbständig;single;Abitur;nein;3670;ja;nein;Unbekannt;2;;0;Unbekannt
432168214;nein;19;nov;127;383135;35;m;Arbeiter;verheiratet;Abitur;nein;86;nein;nein;Handy;1;111;2;Kein Erfolg
432181472;nein;18;may;317;385865;27;w;Technischer Beruf;single;Abitur;nein;2293;ja;nein;Handy;3;364;1;Sonstiges
432154316;nein;20;jun;285;388659;43;m;Selbständig;verheiratet;Studium;nein;819;nein;nein;Unbekannt;4;;0;Unbekannt
432174486;nein;15;apr;85;389046;38;w;Verwaltung;verheiratet;Studium;nein;293;nein;nein;Handy;1;;0;Unbekannt
432186373;ja;29;jun;205;392327;23;w;Dienstleistung;single;Abitur;nein;488;nein;nein;Handy;1;91;3;Erfolg
432164505;nein;21;aug;321;399264;56;m;Management;verheiratet;Studium;nein;502;nein;nein;Handy;2;;0;Unbekannt
432163862;nein;19;aug;103;399643;32;m;Technischer Beruf;verheiratet;Studium;nein;264;ja;nein;Handy;7;;0;Unbekannt
432158921;nein;24;jul;120;400819;36;w;Arbeiter;verheiratet;Unbekannt;nein;0;nein;nein;Handy;5;;0;Unbekannt
432180435;nein;14;may;506;401928;32;m;Student;verheiratet;Studium;nein;744;ja;nein;Handy;2;352;1;Sonstiges
432146602;nein;19;may;657;403304;41;w;Verwaltung;verheiratet;Abitur;nein;3855;ja;nein;Unbekannt;2;;0;Unbekannt
432179823;nein;13;may;99;408057;51;m;Dienstleistung;verheiratet;Abitur;nein;107;ja;nein;Festnetz;2;369;4;Kein Erfolg
432163733;nein;18;aug;85;408943;48;w;Technischer Beruf;verheiratet;Abitur;nein;14148;ja;nein;Handy;2;;0;Unbekannt
432155514;nein;8;jul;165;413071;59;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;3540;nein;nein;Handy;1;;0;Unbekannt
432173791;nein;30;mar;167;414228;32;m;Student;single;Unbekannt;nein;2321;nein;nein;Handy;2;;0;Unbekannt
432165279;nein;26;aug;102;418490;47;w;Verwaltung;verheiratet;Abitur;nein;175;ja;nein;Handy;7;;0;Unbekannt
432162175;nein;8;aug;41;420438;46;m;Technischer Beruf;verheiratet;Abitur;nein;1975;ja;nein;Handy;2;;0;Unbekannt
432153753;nein;19;jun;61;422789;40;m;Selbständig;verheiratet;Abitur;nein;0;nein;nein;Unbekannt;1;;0;Unbekannt
432153521;nein;18;jun;115;423634;37;w;Student;verheiratet;Unbekannt;nein;0;nein;nein;Unbekannt;1;;0;Unbekannt
432187213;nein;23;sep;124;424774;28;w;Verwaltung;single;Studium;nein;313;nein;ja;Handy;1;59;6;Kein Erfolg
432147035;nein;20;may;304;428994;44;w;Arbeiter;verheiratet;Abitur;nein;1081;ja;nein;Unbekannt;2;;0;Unbekannt
432171593;nein;2;feb;153;429830;29;w;Arbeiter;verheiratet;Abitur;nein;1074;nein;nein;Handy;1;;0;Unbekannt
432147301;nein;21;may;240;430538;37;m;Arbeiter;single;Abitur;nein;13156;ja;nein;Unbekannt;1;;0;Unbekannt
432178980;nein;12;may;306;432548;31;m;Verwaltung;single;Abitur;nein;1801;ja;nein;Handy;1;;0;Unbekannt
432153198;nein;17;jun;705;435515;45;w;Arbeiter;verheiratet;Abitur;nein;530;nein;ja;Unbekannt;1;;0;Unbekannt
432174992;nein;17;apr;139;439414;40;w;Arbeiter;geschieden;Real-/Hauptschule;nein;190;ja;ja;Handy;1;346;2;Kein Erfolg
432186492;nein;13;jul;256;440244;80;m;Rentner;verheiratet;Real-/Hauptschule;nein;1468;nein;nein;Handy;2;181;3;Erfolg
432179526;nein;13;may;528;443637;27;m;Student;single;Abitur;nein;268;ja;nein;Handy;1;358;2;Kein Erfolg
432163010;nein;12;aug;409;443884;48;m;Dienstleistung;verheiratet;Abitur;nein;1355;nein;nein;Handy;7;;0;Unbekannt
432167738;nein;18;nov;437;451335;46;m;Management;single;Abitur;ja;177;nein;nein;Handy;1;;0;Unbekannt
432157858;nein;18;jul;70;451699;38;m;Management;single;Studium;nein;21963;nein;nein;Festnetz;2;;0;Unbekannt
432176320;nein;30;apr;80;452361;29;w;Management;verheiratet;Abitur;nein;231;nein;nein;Handy;1;;0;Unbekannt
432153351;nein;17;jun;39;453783;56;m;Rentner;verheiratet;Real-/Hauptschule;nein;1126;nein;nein;Unbekannt;3;;0;Unbekannt
432184722;ja;27;nov;160;455258;53;m;Technischer Beruf;verheiratet;Abitur;nein;1982;ja;ja;Handy;1;;0;Unbekannt
